Feature,Importance
V14,0.17407815565385637
V12,0.1619015448624598
V17,0.1511348118516378
V10,0.06417694662067525
V11,0.06357042716323379
V16,0.04478149871815311
V9,0.034869144214450094
V18,0.033500996990426926
V7,0.031230519123853
V4,0.026470279903389637
V3,0.021394215363986415
V26,0.019203802165528066
V21,0.015053256291496531
V8,0.013772994023683784
V20,0.011867495247064111
Time,0.01175833333596725
V27,0.011465120248510135
V5,0.011334229335062706
V6,0.011259587420967922
V28,0.010767287216592022
V2,0.009588285307853094
Amount,0.009219214832495716
V1,0.008979640835386767
V22,0.00832007918192817
V15,0.007809198091182266
V19,0.0076183529788314466
V24,0.00711518587995564
V13,0.006983455943510223
V23,0.005791498367686408
V25,0.004984442830175608
