Threshold,Precision,Recall,F1,F2,F0.5,TP,FP,TN,FN
0.01,0.1551,0.9079,0.2649,0.4606,0.1859,69,376,44944,7
0.02,0.3568,0.8684,0.5057,0.6748,0.4044,66,119,45201,10
0.03,0.4714,0.8684,0.6111,0.7432,0.5189,66,74,45246,10
0.04,0.5366,0.8684,0.6633,0.7728,0.581,66,57,45263,10
0.05,0.6111,0.8684,0.7174,0.801,0.6496,66,42,45278,10
0.06,0.6667,0.8684,0.7543,0.8189,0.6992,66,33,45287,10
0.07,0.7416,0.8684,0.8,0.8397,0.7639,66,23,45297,10
0.08,0.7586,0.8684,0.8098,0.844,0.7783,66,21,45299,10
0.09,0.7857,0.8684,0.825,0.8505,0.801,66,18,45302,10
0.1,0.7952,0.8684,0.8302,0.8527,0.8088,66,17,45303,10
0.11,0.8148,0.8684,0.8408,0.8571,0.825,66,15,45305,10
0.12,0.8148,0.8684,0.8408,0.8571,0.825,66,15,45305,10
0.13,0.8354,0.8684,0.8516,0.8616,0.8418,66,13,45307,10
0.14,0.8571,0.8684,0.8627,0.8661,0.8594,66,11,45309,10
0.15,0.8571,0.8684,0.8627,0.8661,0.8594,66,11,45309,10
0.16,0.8571,0.8684,0.8627,0.8661,0.8594,66,11,45309,10
0.17,0.8571,0.8684,0.8627,0.8661,0.8594,66,11,45309,10
0.18,0.88,0.8684,0.8742,0.8707,0.8777,66,9,45311,10
0.19,0.8919,0.8684,0.88,0.873,0.8871,66,8,45312,10
0.2,0.8919,0.8684,0.88,0.873,0.8871,66,8,45312,10
0.21,0.8919,0.8684,0.88,0.873,0.8871,66,8,45312,10
0.22,0.9041,0.8684,0.8859,0.8753,0.8967,66,7,45313,10
0.23,0.9041,0.8684,0.8859,0.8753,0.8967,66,7,45313,10
0.24,0.9041,0.8684,0.8859,0.8753,0.8967,66,7,45313,10
0.25,0.9041,0.8684,0.8859,0.8753,0.8967,66,7,45313,10
0.26,0.9041,0.8684,0.8859,0.8753,0.8967,66,7,45313,10
0.27,0.9167,0.8684,0.8919,0.8777,0.9066,66,6,45314,10
0.28,0.9167,0.8684,0.8919,0.8777,0.9066,66,6,45314,10
0.29,0.9167,0.8684,0.8919,0.8777,0.9066,66,6,45314,10
0.3,0.9167,0.8684,0.8919,0.8777,0.9066,66,6,45314,10
0.31,0.9296,0.8684,0.898,0.88,0.9167,66,5,45315,10
0.32,0.9296,0.8684,0.898,0.88,0.9167,66,5,45315,10
0.33,0.9296,0.8684,0.898,0.88,0.9167,66,5,45315,10
0.34,0.9429,0.8684,0.9041,0.8824,0.927,66,4,45316,10
0.35,0.9559,0.8553,0.9028,0.8737,0.9339,65,3,45317,11
0.36,0.9559,0.8553,0.9028,0.8737,0.9339,65,3,45317,11
0.37,0.9559,0.8553,0.9028,0.8737,0.9339,65,3,45317,11
0.38,0.9559,0.8553,0.9028,0.8737,0.9339,65,3,45317,11
0.39,0.9559,0.8553,0.9028,0.8737,0.9339,65,3,45317,11
0.4,0.9552,0.8421,0.8951,0.8625,0.9302,64,3,45317,12
0.41,0.9552,0.8421,0.8951,0.8625,0.9302,64,3,45317,12
0.42,0.9552,0.8421,0.8951,0.8625,0.9302,64,3,45317,12
0.43,0.9552,0.8421,0.8951,0.8625,0.9302,64,3,45317,12
0.44,0.9552,0.8421,0.8951,0.8625,0.9302,64,3,45317,12
0.45,0.9552,0.8421,0.8951,0.8625,0.9302,64,3,45317,12
0.46,0.9552,0.8421,0.8951,0.8625,0.9302,64,3,45317,12
0.47,0.9545,0.8289,0.8873,0.8514,0.9265,63,3,45317,13
0.48,0.9545,0.8289,0.8873,0.8514,0.9265,63,3,45317,13
0.49,0.9545,0.8289,0.8873,0.8514,0.9265,63,3,45317,13
0.5,0.9545,0.8289,0.8873,0.8514,0.9265,63,3,45317,13
0.51,0.9545,0.8289,0.8873,0.8514,0.9265,63,3,45317,13
0.52,0.9538,0.8158,0.8794,0.8401,0.9226,62,3,45317,14
0.53,0.9538,0.8158,0.8794,0.8401,0.9226,62,3,45317,14
0.54,0.9524,0.7895,0.8633,0.8174,0.9146,60,3,45317,16
0.55,0.9524,0.7895,0.8633,0.8174,0.9146,60,3,45317,16
0.56,0.9524,0.7895,0.8633,0.8174,0.9146,60,3,45317,16
0.57,0.9524,0.7895,0.8633,0.8174,0.9146,60,3,45317,16
0.58,0.9524,0.7895,0.8633,0.8174,0.9146,60,3,45317,16
0.59,0.9524,0.7895,0.8633,0.8174,0.9146,60,3,45317,16
0.6,0.9524,0.7895,0.8633,0.8174,0.9146,60,3,45317,16
0.61,0.9677,0.7895,0.8696,0.8197,0.9259,60,2,45318,16
0.62,0.9677,0.7895,0.8696,0.8197,0.9259,60,2,45318,16
0.63,0.9667,0.7632,0.8529,0.7967,0.9177,58,2,45318,18
0.64,0.9667,0.7632,0.8529,0.7967,0.9177,58,2,45318,18
0.65,0.9667,0.7632,0.8529,0.7967,0.9177,58,2,45318,18
0.66,0.9667,0.7632,0.8529,0.7967,0.9177,58,2,45318,18
0.67,0.9667,0.7632,0.8529,0.7967,0.9177,58,2,45318,18
0.68,0.9667,0.7632,0.8529,0.7967,0.9177,58,2,45318,18
0.69,0.9667,0.7632,0.8529,0.7967,0.9177,58,2,45318,18
0.7,0.9831,0.7632,0.8593,0.7989,0.9295,58,1,45319,18
